"Situazione FIAM:";
"1) ** Non trovato in GPB: COGPOLT Confezione Cuscino Per Poltrona Alassio";
"2) ** Non trovato in GPB: CO150SG Materassini Per Poltroncina Art.150Sg";
"3) ** Non trovato in GPB: C1558 Dondolo Splendido 4P Tel.Bianco F111";
"4) ** Non trovato in GPB: CR411 Telai Divano Art.411";
"5) ** Non trovato in GPB: CR410 Telai Poltrona Art.410";
"6) Fiam [C90800] Lettino Perseo ";"GPB: [90800] Lettino Perseo"
"7) ** Non trovato in GPB: CO010 Teli Per Poltrona Art.010";
"8) Fiam [C70461] Piano Tavolo Tempera Silver 70X70 ";"GPB: [70461] Piano Tavolo Tempera Silver 70X70"
"9) ** Non trovato in GPB: CRE170 Cremagliere Per River 170";
"10) ** Non trovato in GPB: CAV145NY Cavallotti Samba Nylon F.V.30%";
"11) Fiam [C188813] Set Victoria Balcony ";"GPB: [188813] Set Victoria Balcony"
"12) ** Non trovato in GPB: CAV163 Cavallotto Doppio U Perart.163 Gr";
"13) ** Non trovato in GPB: CANAPONE Canapone Juta Cm.150";
"14) ** Non trovato in GPB: CMBA12 Baule Manila 90X50";
"15) ** Non trovato in GPB: C1128 Poltrona Cleopatra C/Prolunga V.Bosco";
"16) ** Non trovato in GPB: C1124 Poltrona Cleopatra C/Prolunga Bianca";
"17) ** Non trovato in GPB: CO205 Teli Per Sedia Art.205";
"18) ** Non trovato in GPB: CO206 Teli Per Sedia Art.206";
"19) ** Non trovato in GPB: CREM135 Cremagliera Nylon Grande Art.135";
"20) ** Non trovato in GPB: CE180 Coperture X Gaz.033 Ecru";
"21) ** Non trovato in GPB: CIELRO Cinghia Elastica Rossa";
"22) ** Non trovato in GPB: CO129SBI Materassini Per Poltrona Art.129Sbi Ignigufo";
"23) ** Non trovato in GPB: CAVCEN Cavallotti Centrale D.22 Zn";
"24) ** Non trovato in GPB: CO190 Teli Per Poltrona Art.190";
"25) ** Non trovato in GPB: CO220 Teli Per Sedia Art.220";
"26) ** Non trovato in GPB: CO128SL Materassini Per Sgabello Art.128Sl";
"27) ** Non trovato in GPB: CO128SI Materassini Per Sgabello Art.128Si Con Ignifugo";
"28) ** Non trovato in GPB: CO128SF Materassino Per Sgabello Art.128Sf";
"29) Fiam [C37583] Tavolo Mango-Alu Cm 72X72X72 H ";"GPB: [37583] Tavolo Mango-Alu Cm.72X72X72H"
"30) ** Non trovato in GPB: COG320 Teli Per Sedia Gpb Art.G320";
"31) ** Non trovato in GPB: CO900S Materassini Per Poltrona Art.900";
"32) ** Non trovato in GPB: CTEN375 Tenda C/Supporti A Sbalzo";
"33) Fiam [C81220] Sedia Cesena ";"GPB: [81220] Sedia Cesena"
"34) Fiam [C44521] Lettino Pegaso ";"GPB: [44521] Lettino Pegaso"
"35) ** Non trovato in GPB: CO127SF Materassini Per Poltrona Art.127Sf";
"36) ** Non trovato in GPB: CO910 Teli Per Sgabello Art.910";
"37) ** Non trovato in GPB: CO127SL Materassini Per Poltrona Art.127Sl";
"38) ** Non trovato in GPB: COG9373 Teli Per Pergola Gpb";
"39) ** Non trovato in GPB: CIELVE Cinghia Elastica Verde";
"40) ** Non trovato in GPB: COMP+PINZA Componenti Vari + Pinza";
"41) ** Non trovato in GPB: CUS50330 Cuscino Art. 50330";
"42) ** Non trovato in GPB: COG420 Teli Per Lettino Gpb Art.G420";
"43) ** Non trovato in GPB: CO128S Materassini Per Sgabello Art.128S";
"44) Fiam [C46310] Base Ombrellone Giove Kg.15 ";"GPB: [46310] Base Ombrellone Giove Kg. 15"
"45) Fiam [C46312] Base Ombrellone Giove Kg.15 ";"GPB: [46312] Base Ombrellone Giove Kg. 15"
"46) ** Non trovato in GPB: CAV162 Cavallotto Doppio U Perart. 162";
"47) ** Non trovato in GPB: C1264 Carrello Perlage Biancochiudibile";
"48) ** Non trovato in GPB: CIN900 Cinghie Per Linda";
"49) ** Non trovato in GPB: CIN37 Cinghie Mm.37 Art.483";
"50) ** Non trovato in GPB: CO127IL Teli Per Poltrona Art.127Il";
"51) ** Non trovato in GPB: CO411PP Teli Per Divano Art.411";
"52) ** Non trovato in GPB: CGRBIR Gruppo Birreria Pieghevole";
"53) ** Non trovato in GPB: COELAN50 Confezione Elastici Cm.50";
"54) ** Non trovato in GPB: CIN127 Cinghie Per Art.127";
"55) ** Non trovato in GPB: COPA034 Teli Per Parasole Art.034";
"56) ** Non trovato in GPB: CIU035 Innesto Per Brandina Amigo (Ciucci)";
"57) Fiam [C46332] Base ""Nettuno""An Kg.25 Cm.45X45 Inox ";"GPB: [46332] Base Ombrellone Nettunoquadra Kg.25"
"58) ** Non trovato in GPB: CMBA11 Baule Monterey 55X50";
"59) ** Non trovato in GPB: CRGPSDR Gamba Post.Sdraio 810 Dacromare";
"60) ** Non trovato in GPB: COGAM Coppie Gambe Tavolo";
"61) ** Non trovato in GPB: CPST238 Piastrella 30X30";
"62) ** Non trovato in GPB: CAV25GR Cavallotto 25 Triangolare Grezzo";
"63) Fiam [C47740] Tavolo Bucaneve 90X90 ";"GPB: [47740] Tavolo Quadro Bucaneve Cm.90X90X72H"
"64) ** Non trovato in GPB: CBEF10 Panca Verbania";
"65) ** Non trovato in GPB: CTEN450 Tenda C/Supporti Centrali";
"66) ** Non trovato in GPB: CAR020 Cartone Per Art.020 34 Pcs";
"67) ** Non trovato in GPB: C2034 Lettino Smeraldo Tex Bianco";
"68) ** Non trovato in GPB: C2037 Parasole Lettino Smeraldo Tex V.Bosco";
"69) ** Non trovato in GPB: C2032 Lettino Smeraldo Tex V.Bosco";
"70) ** Non trovato in GPB: C2039 Parasole Lettino Smeraldo Tex Bianco";
"71) ** Non trovato in GPB: CO127SPO Teli Portanti Per Poltrona";
"72) ** Non trovato in GPB: CROWNER Struttura Crowner Cafe'Zero";
"73) ** Non trovato in GPB: CRSEDSDR Sedile Sdraio 810 Da Cromare";
"74) ** Non trovato in GPB: CO119 Teli Per Sdraio Art.119";
"75) ** Non trovato in GPB: CO140 Teli Per Lettino Art.140";
"76) ** Non trovato in GPB: COG47255 Cuscini Per Sedia Alassio C/Braccioli Art.47255";
"77) ** Non trovato in GPB: COG47250 Cuscini Per Sedia Alassio S/Braccioli Art.47250";
"78) ** Non trovato in GPB: CCHB02 Sedia Regista Bambu'";
"79) ** Non trovato in GPB: CAR22 Cartoni";
"80) ** Non trovato in GPB: CO129SI Materassini Per Poltrona Art.129Si Ignifugo";
"81) ** Non trovato in GPB: CO850 Teli Per Amaca";
"82) Fiam [C30335] Sedia Victoria ";"GPB: [30335] Sedia Victoria"
"83) Fiam [C30332] Sedia Victoria ";"GPB: [30332] Sedia Victoria"
"84) ** Non trovato in GPB: CO148 Teli Per Poltrona Art.148";
"85) Fiam [C201389] Divano 2 Posti California ";"GPB: [201389] Divano 2 Posti California"
"86) ** Non trovato in GPB: CO410 Materassini Per Poltrona Art.410";
"87) ** Non trovato in GPB: CRPROSDR Prolunga Sdraio Da Cromare";
"88) ** Non trovato in GPB: C30220 Tavolino Queen Cm. 51X51X43 H";
"89) ** Non trovato in GPB: CRPIE Piedini Sgabello Bitter";
"90) ** Non trovato in GPB: COGDIV.ISCHIA Cuscini Per Divano Ischia";
"91) ** Non trovato in GPB: C2017 Lettino Elegant 5 Posizioni";
"92) ** Non trovato in GPB: CO601 Teli Per Parasole Xl Art.601";
"93) ** Non trovato in GPB: CO138 Confezione Art.138 Caddy";
"94) ** Non trovato in GPB: CO132 Teli Per Art.132";
"95) ** Non trovato in GPB: CO131 Teli Per Lettino Art.131";
"96) ** Non trovato in GPB: CO130 Teli Per Poltrona Art.130";
"97) ** Non trovato in GPB: C1656 Dondolo Splendido Mistoresina Verde";
"98) Fiam [C32108] Sedia Elizabeth Baby ";"GPB: [32108] Sedia Elizabeth Baby"
"99) Fiam [C192878] Poltrona California ";"GPB: [192878] Set 2 Poltrone California"
"100) ** Non trovato in GPB: CIN099-90,7 Cinghie Per Art.099 Mm.90,7";
"101) ** Non trovato in GPB: C200L   GIRO Ombrellone D.200 Legno";
"102) ** Non trovato in GPB: CO830 Teli Per Sedia Art.830";
"103) ** Non trovato in GPB: CAC036 Set Tende Laterali Per Gaz 036";
"104) ** Non trovato in GPB: CAC034 Set Tende Laterali Per Gaz 034";
"105) ** Non trovato in GPB: CAC035 Set Tende Laterali Per Gazebo 035";
"106) ** Non trovato in GPB: C30241 Poltrona Box";
"107) ** Non trovato in GPB: CO220IL Teli Per Sedia Art.220Il";
"108) ** Non trovato in GPB: CAV135GR Cavallotti U Diam.22 Grezzo";
"109) Fiam [C30407] Sedia Bella ";"GPB: [30407] Sedia Bella"
"110) ** Non trovato in GPB: CO127TW Teli Per Poltrona Art.127 Twh";
"111) ** Non trovato in GPB: CO150 Teli Per Poltroncina Susy";
"112) ** Non trovato in GPB: COG50200 Cuscini Per Sedia Alassio Art.G50200";
"113) ** Non trovato in GPB: CCHF02 Sedia Arona";
"114) ** Non trovato in GPB: CSDB64 Sdraio Bambu'";
"115) ** Non trovato in GPB: CCHF04 Sedia Stresa C/Braccioli";
"116) ** Non trovato in GPB: CO810 Telai Poltrona Art.810";
"117) Fiam [C81140] Poltrona Venezia ";"GPB: [81140] Poltrona Venezia"
"118) ** Non trovato in GPB: CAV135ZN Cavallotti Ad ""U"" D.22 Zn";
"119) ** Non trovato in GPB: CO150E Teli Per Poltroncina Art.150E";
"120) Fiam [C30262] Sedia Lucca ";"GPB: [30262] Sedia Lucca"
"121) Fiam [C30263] Sedia Lucca ";"GPB: [30263] Sedia Lucca"
"122) ** Non trovato in GPB: CINPOL45COL Nastro Tubolare Poliestere Mm45";
"123) ** Non trovato in GPB: COELA Confezione Elastici Cm.62";
"124) ** Non trovato in GPB: CO170 Teli Per Lettino Art.170";
"125) ** Non trovato in GPB: CAV024NY Cavallotti Per Art. 024Nylon";
"126) ** Non trovato in GPB: CO420SL Materassini Per Lettinoart.420Sl";
"127) Fiam [C30320] Sedia Dejavu ";"GPB: [30320] Sedia Dejavu"
"128) ** Non trovato in GPB: C200F   GIRO Ombrellone D.200 Ferro";
"129) ** Non trovato in GPB: COSDR Teli Sdraio";
"130) ** Non trovato in GPB: CRTEL Telai Tavolo Da Cromare";
"131) ** Non trovato in GPB: CAVPL135 Cavallotti Gamba Ant.135";
"132) Fiam [C47086] Divano 2Posti Recanati ";"GPB: [47086] Divano 2 Posti Recanati"
"133) Fiam [C47081] Poltrona Recanati ";"GPB: [47081] Poltrona Recanati"
"134) ** Non trovato in GPB: CO220K Teli Per Sedia Art.220K";
"135) ** Non trovato in GPB: CSTB53 Tavolo 90X90 Bambu'";
"136) Fiam [C38002] Tavolo Mango Cm.72X72X72H ";"GPB: [38002] Tavolo Mango Cm.72X72X72H"
"137) Fiam [C38003] Tavolo Mango 72X72X72 H. ";"GPB: [38003] Tavolo Mango Cm.72X72X72H"
"138) ** Non trovato in GPB: CO920K Telo Per Sdraio Art.920K";
"139) ** Non trovato in GPB: CONFIL Coni Filato";
"140) ** Non trovato in GPB: COCIN099 Cinghie Per Art.099";
"141) ** Non trovato in GPB: CO411 Materassini Per Divano Art.411";
"142) ** Non trovato in GPB: COTOV Confezione Tovagliette";
"143) ** Non trovato in GPB: COG450 Teli Per Lettino Gpb Art.G450";
"144) ** Non trovato in GPB: CUS50200 Cuscino Art. 50200";
"145) ** Non trovato in GPB: CO024TW Teli Per Poltrona Art.024 Twh";
"146) ** Non trovato in GPB: COANG Confezione Angolari";
"147) ** Non trovato in GPB: CTR945 Carrello Legno Acacia";
"148) ** Non trovato in GPB: CSD225 Sdraio Lousiana";
"149) Fiam [C30325] Sedia Dejavu ";"GPB: [30325] Sedia Dejavu"
"150) Fiam [C30323] Sedia Dejavu ";"GPB: [30323] Sedia Dejavu"
"151) Fiam [C30322] Sedia Dejavu ";"GPB: [30322] Sedia Dejavu"
"152) ** Non trovato in GPB: CRBRASDR Braccioli Sdraio 810 Dacromare";
"153) ** Non trovato in GPB: CR205 Telai Sedia Regista";
"154) ** Non trovato in GPB: C1860 Tavolo Ribalto Cont.140X80 Verde Bosco";
"155) ** Non trovato in GPB: CO650 Poggiatesta Art.650";
"156) ** Non trovato in GPB: CO651 Poggiatesta Art. 651";
"157) ** Non trovato in GPB: COG610 Teli Per Art. 610 Gpb";
"158) ** Non trovato in GPB: CR127 Telai Poltrona 127";
"159) ** Non trovato in GPB: CR129 Telai Sedia Movida 129";
"160) ** Non trovato in GPB: CR128 Telai Sgabello Art.128";
"161) ** Non trovato in GPB: C1190 Monoblocco Stella Di Mare Sch.Med.";
"162) ** Non trovato in GPB: COG470 Teli Per Lettino Gpb Art.G470";
"163) ** Non trovato in GPB: CINPOL Nastro Tubolare Poliestere Mm 45";
"164) Fiam [C46062] Ombrellone Molveno Cm.200X300 ";"GPB: [46062] Ombrellone Molveno Cm.200X300"
"165) Fiam [C46061] Ombrellone Molveno Cm.200X300 ";"GPB: [46061] Ombrellone Molveno Cm.200X300"
"166) ** Non trovato in GPB: COMT129S Confezione Per Art.Mt129S";
"167) Fiam [C30300] Sgabello Bar Fox ";"GPB: [30300] Sgabello Bar Fox 75 Cm"
"168) ** Non trovato in GPB: CAM35 Amaca In Cotone Con Frange 200X100";
"169) ** Non trovato in GPB: COP25NE Tappo Copriforo Neutro";
"170) Fiam [C46504] Gazebo ""Volturno"" Cm.300X400 ";"GPB: [46504] Gazebo ""Volturno"" Cm.300X400"
"171) ** Non trovato in GPB: CCTB54 Tavolino 60X50 Bambu'";
"172) Fiam [C70000] Applicazione 4 Inserti Fil. M6 ";"GPB: [70000] Applicazione 4 Inserti Fil. M6"
"173) ** Non trovato in GPB: CR123 Telai Poltrona Art.123";
"174) ** Non trovato in GPB: C806 Poltroncina Emmy Color";
"175) Fiam [C33100] Base Ice ";"GPB: [33100] Base Ice"
"176) ** Non trovato in GPB: CR148 Telaio Poltrona Tango";
"177) ** Non trovato in GPB: CONFILPERM Cono Filato Permacore 35";
"178) ** Non trovato in GPB: CO021 Teli Per Sedia Art.021";
"179) ** Non trovato in GPB: CO022 Teli Per Sedia Art.022";
"180) ** Non trovato in GPB: CO024 Teli Per Poltrona Art.024";
"181) ** Non trovato in GPB: CO026 Teli Per Sedia Art.026";
"182) Fiam [C30360] Sedia Crystal ";"GPB: [30360] Sedia Crystal"
"183) Fiam [C30365] Sedia Crystal ";"GPB: [30365] Sedia Crystal"
"184) Fiam [C30368] Sedia Crystal ";"GPB: [30368] Sedia Crystal"
"185) ** Non trovato in GPB: CRT932 Tavolo Rett.Allung.176/233X100 Acacia";
"186) ** Non trovato in GPB: CO135 Teli Per Lettino Art.135";
"187) ** Non trovato in GPB: COSAC Sacchi Per Poltr.Fiesta";
"188) ** Non trovato in GPB: CO410PP Teli Per Poltrona Art.410";
"189) Fiam [C189461] Lettino Daytona ";"GPB: [189461] Lettino Daytona"
"190) ** Non trovato in GPB: COOSLOANG Cuscino Linea Oslo Angolare";
"191) ** Non trovato in GPB: COG50320 Cuscini Per Divano Alassio 3 Posti Art.G50320";
"192) Fiam [C864] Tavolino Jim Color ";"GPB: [864] Om.Pa.3X4 Senza Telo"
"193) ** Non trovato in GPB: CE5014 Ombr.3X3 Mt-Contract P.Lat-F.Alu Bco";
"194) ** Non trovato in GPB: CE5012 Ombr.3X3 Mt-Palo Lat.Fusto Alu Legno";
"195) ** Non trovato in GPB: CE5013 Ombr.Tondo 3 Mt-P.Lat.-F.Alu Grigio";
"196) ** Non trovato in GPB: CR166 Telai Sgabello Ginger 166   Da Cromare";
"197) ** Non trovato in GPB: CR165 Telai Art. 165";
"198) ** Non trovato in GPB: CR164 Telai Sgabello Ginger 164";
"199) ** Non trovato in GPB: CR163 Telai Sgabello Bitter 163";
"200) ** Non trovato in GPB: CR162 Telai Sgabello Bitter 162";
"201) ** Non trovato in GPB: CR161 Telai Sgabello Bitter 161";
"202) ** Non trovato in GPB: CRTUB210 Tubetti Art.210 ""Oasi"" Da Cromare";
"203) ** Non trovato in GPB: CARF020 Cartone Fustellato Art.020";
"204) ** Non trovato in GPB: CR420 Telai Lettino Pitagora";
"205) Fiam [C30348] Sedia Elizabeth ";"GPB: [30348] Sedia Elizabeth"
"206) Fiam [C30340] Sedia Elizabeth ";"GPB: [30340] Sedia Elizabeth"
"207) Fiam [C30347] Sedia Elizabeth ";"GPB: [30347] Sedia Elizabeth"
"208) Fiam [C30346] Sedia Elizabeth ";"GPB: [30346] Sedia Elizabeth"
"209) Fiam [C30345] Sedia Elizabeth ";"GPB: [30345] Sedia Elizabeth"
"210) ** Non trovato in GPB: COCIN150 Cinghie Per Art.150";
"211) ** Non trovato in GPB: CO004 Teli Per Sedia Art.004";
"212) ** Non trovato in GPB: CO550 Teli Per Paravento Art.550";
"213) Fiam [C32107] Sedia Elizabeth Baby ";"GPB: [32107] Sedia Elizabeth Baby"
"214) Fiam [C32106] Sedia Elizabeth Baby ";"GPB: [32106] Sedia Elizabeth Baby"
"215) ** Non trovato in GPB: CAR127 Cartone Per Art. 127";
"216) ** Non trovato in GPB: CO630 Poggiatesta Con Tasca Art.630";
"217) ** Non trovato in GPB: CLIBE Lettino In Alluminio Mod.Libeccio";
"218) ** Non trovato in GPB: C1131 Poltrona Vivy Bianca Chiudibile";
"219) ** Non trovato in GPB: CCC10 Sedia Bistrot Con Braccioli";
"220) ** Non trovato in GPB: CGB954 Panca Victory";
"221) ** Non trovato in GPB: CGB956 Panca Lion";
"222) ** Non trovato in GPB: CO205TW Teli Per Sedia Art.205 Twh";
"223) ** Non trovato in GPB: CUS50310 Cuscino Art. 50310";
"224) ** Non trovato in GPB: CELIK Cellophane Ikea";
"225) ** Non trovato in GPB: CE5012V Ombr.3X3 Mt-Palo Lat.Fusto Alu Legno";
"226) ** Non trovato in GPB: CIELA Cinghia Elastica";
"227) ** Non trovato in GPB: CARTONE Cartone Da Macerare";
"228) ** Non trovato in GPB: CAR21 Cartoni";
"229) ** Non trovato in GPB: CAR24 Cartoni";
"230) ** Non trovato in GPB: COTF54 Tavolo Angera Ovale 183X106";
"231) ** Non trovato in GPB: COG50360 Cuscini Per Chaise Longue Alassio Art.G50360";
"232) ** Non trovato in GPB: CAC031 Set Zanzariere Per Gaz 034";
"233) ** Non trovato in GPB: CR210 Telai Sedia Master";
"234) ** Non trovato in GPB: CE5051 Ombr.3X3 Mt.-Contract F.Alu Bianco";
"235) ** Non trovato in GPB: CO420S Materassini Per Lettinoart.420";
"236) ** Non trovato in GPB: CO210 Teli Per Poltrona Art.210";
"237) ** Non trovato in GPB: CUSOSLODR Cuscino Oslo Dritto";
"238) ** Non trovato in GPB: CE5004 Ombr.2,2X2,2 Mt.-Fusto Alu";
"239) Fiam [C10160] Base Quadra Sirio Cm 40X40X73H ";"GPB: [10160] Base Quadra Sirio Cm 40X40X73 H"
"240) Fiam [C10165] Base Quadra Alta Sirio Cm 40X40X110H ";"GPB: [10165] Base Quadra Alta Sirio Cm 40X40X110H"
"241) Fiam [C198074] Tavolo California ";"GPB: [198074] Tavolino California Cm 68X68X35 H"
"242) ** Non trovato in GPB: CO301 Teli Per Tavolino Art.301";
"243) ** Non trovato in GPB: CO127S Materassini Per Poltrona Art.127S";
"244) ** Non trovato in GPB: CAVCEN22 Cavallotto Centrale D.22";
"245) ** Non trovato in GPB: CO127L Teli Per Poltrona Art.127L";
"246) ** Non trovato in GPB: CIELBL Cinghia Elastica Blu";
"247) ** Non trovato in GPB: COCIN Cinghie Complete Di Ganci";
"248) ** Non trovato in GPB: CUS47250 Cuscino Art.47250";
"249) ** Non trovato in GPB: CRPIESDR Piedini Sdraio 810 Da Cromare";
"250) ** Non trovato in GPB: CO145TW Teli Per Poltrona Art.145 Twh";
